Sample Id of 0.75X,Beta,Reference CC
ERX212164,0.915689031,CC_1_1
ERX132366,0.940400653,CC_1_1
ERX147839,0.944250495,CC_1_1
ERX120762,0.945152309,CC_1_1
ERX221180,0.959885933,CC_1_1
ERX187490,0.963591466,CC_1_1
ERX186572,0.964115437,CC_1_1
ERX147968,0.972143182,CC_1_1
ERX154964,0.973640634,CC_1_1
ERX187425,0.97382167,CC_1_1
ERX187467,0.973833664,CC_1_1
ERX110369,0.976762821,CC_1_1
ERX187527,0.976975521,CC_1_1
ERX178849,0.977318206,CC_1_1
ERX120741,0.977321574,CC_1_1
ERX186351,0.97780517,CC_1_1
ERX187533,0.977837832,CC_1_1
ERX187602,0.979937194,CC_1_1
ERX187564,0.980158519,CC_1_1
ERX186597,0.980471286,CC_1_1
ERX187565,0.981550023,CC_1_1
ERX197835,0.981966739,CC_1_1
ERX187603,0.981980478,CC_1_1
ERX212147,0.983481752,CC_1_1
ERX147991,0.9838754,CC_1_1
ERX094869,0.984866401,CC_1_1
ERX187525,0.98583803,CC_1_1
ERX209356,0.98642451,CC_1_1
ERX187654,0.986941356,CC_1_1
ERX094876,0.988652259,CC_1_1
ERX178894,0.989309309,CC_1_1
ERX186619,0.990383653,CC_1_1
ERX187669,0.990499587,CC_1_1
ERX187478,0.991815095,CC_1_1
ERX187668,0.991938505,CC_1_1
ERX187592,0.99205253,CC_1_1
ERX212159,0.992499865,CC_1_1
ERX094729,0.99311801,CC_1_1
ERX094639,0.993429774,CC_1_1
ERX178832,0.994535365,CC_1_1
ERX276051,0.994556846,CC_1_1
ERX221190,0.994587203,CC_1_1
ERX110423,0.995444865,CC_1_1
ERX178840,0.995929753,CC_1_1
ERX187590,0.996080869,CC_1_1
ERX186602,0.996554194,CC_1_1
ERX186583,0.996778312,CC_1_1
ERX152038,0.997709697,CC_1_1
ERX187605,0.997756365,CC_1_1
ERX094730,0.999135772,CC_1_1
ERX187448,0.290856683,CC_97
ERX328713,0.310973964,CC_45
ERX178893,0.337074967,CC_97
SRX473185,0.365432414,MLST_93
SRX567843,0.369805786,CC_398_398
ERX105400,0.370061627,CC_97
ERX164890,0.374739055,CC_49
ERX186631,0.378295989,CC_1_1
ERX178875,0.419830503,CC_97
SRX471050,0.422764636,CC_49
ERX110795,0.428717898,CC_49
ERX148030,0.439853757,CC_1_1
ERX164891,0.44824126,CC_239_239
ERX305205,0.471556355,CC_779
ERX197841,0.478541347,CC_8_72
ERX305136,0.49100695,CC_8_72
