Sample Id,MecA_read_Counts,MecA_Coverage,Staph_read_Counts,Staph_Coverage,CC_8_8,CC_239_239,CC_1_1,CC_5_5,CC_8_8_2,CC_5_5_2,MLST_93,CC_5_5_3,CC_59_59,CC_30_36,CC_8_72,CC_8_8_3,CC_151_151,CC_8_254,CC_398_398,CC_30_30,CC_75_1850,CC_5_5_4,CC_133_133,CC_1021,CC_121,CC_123,CC_130,CC_15,CC_20,CC_2198,CC_22,CC_2361,CC_291,CC_425,CC_45,CC_49,CC_50,CC_522,CC_700,CC_779,CC_78,CC_80,CC_97,CC_9
SRR1748844,3817,192.0861983,155396,5.463090972,0,0,0,0,0,0,0.127897733,0,0,0,0.146559685,0,0,0,0,0,0.014015448,0,0.100118752,0.004033778,0,0,0,0,0,0.116900038,0.088484474,0,0.16968708,0.022042262,0.017949527,0,0,0.192311224,0,0,0,0,0,0
SRR1749917,1569,78.95814649,59942,2.107316785,0.116051211,0.238957432,0.193179742,0,0,0,0.135609212,0,0,0,0,0,0.132802313,0,0.119558087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063842002,0,0,0,0,0,0,0,0,0
SRR1748861,620,31.20079721,60176,2.115543272,0,0,0,0,0.844996048,0,0,0,0,0,0.036245862,0,0.007775569,0,0,0,0.008487261,0,0,0,0,0,0,0.047886477,0,0,0.022914925,0,0,0,0.016059534,0.007966152,0,0.00015728,0.007510893,0,0,0,0,0
SRR1748587,65,3.27105132,11085,0.389703489,0,0,0,0,0,0,0,0,0,0,0,0,0.003669247,0,0.932148555,0,0.000517076,0,0.004463713,0.003435631,0,0,0,0,0,0.001745769,0,0,0.046294583,0,0.004203901,0,0,0,0.002179298,0.001342226,0,0,0,0
SRR1750076,35,1.761335326,4118,0.144772122,0.454908433,0,0,0,0,0,0.019683555,0,0,0,0.052101246,0,0.006687409,0,0.017108506,0,0,0,0,0,0.010277978,0,0,0,0.058349151,0,0,0,0,0,0.017384577,0,0,0,0,0,0.363499145,0,0,0
SRR1748748,28,1.409068261,1824,0.064124417,0,0,0,0,0,0,0,0,0,0,0,0,0.10990306,0,0,0.270875333,0,0,0,0,0,0.02322345,0,0.498296312,0,0,0,0,0,0.05605836,0,0,0,0,0.041643486,0,0,0,0,0
SRR1749012,19,0.956153463,2676,0.09407727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104506503,0,0,0,0,0.06540982,0,0,0,0,0,0,0,0,0.038390967,0,0,0,0,0.319044258,0,0,0.472648452,0,0
SRR1748627,16,0.805181863,55038,1.934912101,0,0.077138309,0.098754175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10258256,0.12008505,0.000709066,0.042503056,0,0,0,0.000237713,0.006331148,0,0,0,0,0.169012756,0.12748019,0,0.255165979
SRR1748812,16,0.805181863,73443,2.581957002,0,0,0.100481362,0,0.094170567,0,0.001160453,0,0,0.005523193,0.295966264,0,0,0,0,0,0,0,0,0,0,0,0,0.169960628,0,0,0.031237471,0,0,0,0,0,0,0,0,0.183868391,0,0,0.117631672,0
SRR1748801,13,0.654210264,10997,0.386609767,0.975046312,0,0,0,0,0,0,0,0,0,0.008133862,0,0,0,0.002981128,0,0.000471183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058204,0,0,0,0,0,0.008202533,0.004582943,0,0
SRR1749005,12,0.603886398,4005,0.140799502,0,0,0,0,0,0,0,0,0,0,0,0,0.018385501,0,0.919835093,0,0,0,0,0,0,0,0,0,0,0,0.02176508,0,0,0,0,0,0.003447502,0,0.023828288,0,0,0.012738535,0,0
SRR1749943,9,0.452914798,2460,0.086483589,0,0,0,0,0,0,0,0,0,0,0.070335355,0,0.012590363,0,0,0,0.420339602,0,0.032235022,0,0,0,0,0,0,0.464499659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748758,8,0.402590932,1971,0.069292339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123489075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064837306,0,0.028349451,0,0,0,0,0.783324168,0,0
SRR1748604,7,0.352267065,4952,0.174092168,0,0,0,0,0,0,0,0,0,0.970606878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008242194,0,0,0,0,0,0.00791554,0,0.006614808,0,0,0.00662058,0,0
SRR1748548,6,0.301943199,22559,0.793082636,0,0.005014813,0,0,0,0,0,0,0,0.970315824,0,0,0.000611615,0,0.004734934,0,0,0,0.001052589,0.001003809,0.001823967,0,0,0,0,0.001037178,0.001772831,0,0.004977812,0.000927117,0.003475583,0.003251929,0,0,0,0,0,0,0,0
SRR1748912,6,0.301943199,6299,0.221447206,0.608518634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03397382,0,0,0,0,0,0.076962792,0,0,0,0.16003166,0,0,0,0.120513093,0,0,0,0,0,0,0,0,0
SRR1748796,4,0.201295466,4839,0.170119548,0.233662024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070797983,0.07779174,0,0,0,0,0,0,0,0,0,0,0,0,0.205314151,0,0,0,0,0.08320914,0,0,0,0.329224961,0
SRR1748865,4,0.201295466,2250,0.079100844,0.625,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0
SRR1748979,4,0.201295466,1565,0.055019031,0.420073565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250336424,0,0.111154502,0,0,0,0.218435509,0,0,0,0,0,0,0,0,0
SRR1749009,4,0.201295466,7198,0.253052388,0,0,0,0,0,0,0,0,0,0.745095034,0,0,0,0,0,0,0.031880789,0,0.033027492,0,0,0,0,0,0,0,0.097017532,0,0,0.016055222,0,0,0,0.013325667,0.063598265,0,0,0,0,0
SRR1748708,3,0.150971599,4144,0.145686176,0,0,0,0,0,0.276300329,0,0,0,0,0,0,0.006234883,0,0,0.51990633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099780785,0,0,0,0.097777673,0,0,0,0,0
SRR1748838,3,0.150971599,15944,0.560526156,0,0,0.264609764,0,0,0,0,0,0,0,0.139708603,0,0,0,0,0,0,0,0,0,0,0,0,0.090397661,0.14687063,0.000910661,0.012214617,0,0,0,0,0,0,0,0,0.039922966,0.050661878,0.092702063,0.086913831,0.075087325
SRR1749059,3,0.150971599,3069,0.107893551,0,0,0,0,0,0,0,0.906862745,0,0,0,0,0,0,0,0,0,0,0,0,0.049019608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044117647,0,0,0,0,0
SRR1748568,2,0.100647733,2516,0.088452321,0,0,0,0,0,0,0,0,0,0,0.892744479,0,0,0,0.107255521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749013,2,0.100647733,2483,0.087292175,0.059008394,0,0,0,0,0,0,0,0,0,0,0,0.059197202,0,0,0.542989192,0.074521082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115803882,0.148480247,0,0,0,0,0
