Sample Id,Description,Original Subject id,Body site,Phase,CC_8_8,CC_239_239,CC_1_1,CC_5_5,CC_8_8 2,CC_5_5 2,MLST_93,CC_5_5 3,CC_59_59,CC_30_36,CC_8_72,CC_8_8 3,CC_151_151,CC_8_254,CC_398_398,CC_30_30,CC_75_1850,CC_5_5 4,CC_133_133,CC_1021,CC_121,CC_123,CC_130,CC_15,CC_20,CC_2198,CC_22,CC_2361,CC_291,CC_425,CC_45,CC_49,CC_50,CC_522,CC_700,CC_779,CC_78,CC_80,CC_97,CC_9,Subject Id
SRS024620,Human Retroauricular crease microbiome from visit number 2 of subject 15961191,15961191,left retroauricular crease,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84375,0,0,0,0,0,0,0,0,0,0.15625,0,0,0,0,0,0,0,0,0,0,0,1
SRS024655,Human Right Retroauricular crease microbiome from visit number 2 of subject 15961191 replicate 2,15961191,right retroauricular crease,I,0,0,0,0,0,0.317430704,0,0,0,0,0,0,0,0,0,0,0,0,0.345088193,0,0,0,0,0,0,0.17993128,0,0,0,0,0,0,0,0,0.157549823,0,0,0,0,0,1
SRS020261,Human Retroauricular crease microbiome from visit number 1 of subject 16040087 replicate 1,16040087,left retroauricular crease,I,0,0,0,0,0,0,0.002631353,0,0,0,0,0,0.072861212,0,0,0,0,0,0.188745477,0,0,0,0,0,0,0,0,0,0,0.13081145,0.25785687,0,0,0,0.085965052,0.261128585,0,0,0,0,2
SRS020263,Human Retroauricular crease microbiome from visit number 1 of subject 16040088 replicate 2,16040088,right retroauricular crease,I,0,0,0,0,0,0,0,0,0,0,0.508780384,0,0,0,0,0,0,0,0.202557214,0,0,0,0,0,0,0,0,0,0,0,0.185216163,0,0,0,0.103446239,0,0,0,0,0,2
SRS148276,Human Tongue dorsum microbiome from visit number 1 of subject 103092734,103092734,tongue dorsum,II,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SRS144124,Human Subgingival plaque microbiome from visit number 1 of subject 147406386,147406386,subgingival plague,II,0.8,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SRS021897,Human Tongue dorsum microbiome from visit number 1 of subject 158155345,158155345,tongue dorsum,II,0,0,0,0,0,0,0,0.168510981,0,0.328734931,0.250048378,0,0,0,0.145197221,0,0.107508488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SRS021948,Human Stool microbiome from visit number 2 of subject 158256496,158256496,stool,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SRS021960,Human Supragingival plaque microbiome from visit number 2 of subject 158256496,158256496,supragingival plaque,I,0,0,0,0,0,0,0,0,0,0.882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SRS021954,Human Tongue dorsum microbiome from visit number 2 of subject 158256496,158256496,tongue dorsum,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32816773,0,0.029170465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642661805,0,0,0,0,0,0,0,0,0,6
SRS022129,Human Anterior nares microbiome from visit number 2 of subject 158337416,158337416,anterior nares,I,0,0,0.247364444,0,0,0,0,0,0,0,0.08758919,0,0,0,0,0,0,0.037273093,0,0,0,0,0,0.09825342,0.067214626,0.001415942,0.014760519,0,0.005997683,0,0.007006423,0,0,0,0,0.079622418,0.044571614,0.157902164,0.080047861,0.070980604,7
SRS012281,Human Buccal mucosa microbiome from visit number 1 of subject 158337416,158337416,buccal mucosa,I,0.916666667,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SRS012285,Human Supragingival plaque microbiome from visit number 1 of subject 158337416,158337416,supragingival plaque,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SRS022083,Human Supragingival plaque microbiome from visit number 2 of subject 158337416,158337416,supragingival plaque,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SRS011105,Human Anterior nares microbiome from visit number 1 of subject 158458797,158458797,anterior nares,I,0,0,0,0,0,0,0.002170696,0,0.982268957,0,0,0,0,0.001394338,0,0,0.0000883,0,0.003789092,0.002276051,0,0.004175913,0,0.000299417,0.000689464,0.000815064,0,0,0,0,0,0,0,0,0.001971859,0,0,0,0,0.0000609,8
SRS011090,Human Buccal mucosa microbiome from visit number 1 of subject 158458797,158458797,buccal mucosa,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SRS011086,Human Tongue dorsum microbiome from visit number 1 of subject 158458797,158458797,tongue dorsum,I,0,0,0,0,0,0.001273761,0.003701957,0,0.976335108,0,0,0,0.003461652,0.001117902,0.001699073,0,0.00050722,0,0,0,0.006289566,0,0,0,0,0.000603115,0.001803899,0,0,0,0,0,0,0.000688299,0.002518448,0,0,0,0,0,8
SRS022464,Human Tongue dorsum microbiome from visit number 1 of subject 158458797,158458797,tongue dorsum,II,0,0,0,0,0,0,0,0,0.996843055,0,0,0,0,0,0,0,0.003156945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SRS021483,Human Anterior nares microbiome from visit number 2 of subject 158479027,158479027,anterior nares,I,0,0,0,0,0,0,0,0,0,0,0.961672113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023467116,0,0.006891717,0.000619545,0,0,0,0,0,0.007349509,0,0,0,0,0,0,9
