Sample 	Strain_Name	Estimated_Beta
Microbiome 1	CC_8_8	0
Microbiome 1	CC_239_239	0.069668815
Microbiome 1	CC_1_1	0
Microbiome 1	CC_5_5	0.010209886
Microbiome 1	CC_8_8_2	0.007905345
Microbiome 1	CC_5_5_2	0
Microbiome 1	MLST_93	0.179510882
Microbiome 1	CC_5_5_3	0
Microbiome 1	CC_59_59	0.028364915
Microbiome 1	CC_30_36	0
Microbiome 1	CC_8_72	0
Microbiome 1	CC_8_8_3	0
Microbiome 1	CC_151_151	0.592531675
Microbiome 1	CC_8_254	0
Microbiome 1	CC_398_398	0.006416565
Microbiome 1	CC_30_30	0
Microbiome 1	CC_75_1850	0
Microbiome 1	CC_5_5_4	0
Microbiome 1	CC_133_133	0
Microbiome 1	CC_1021	0.003050417
Microbiome 1	CC_121	0
Microbiome 1	CC_123	0
Microbiome 1	CC_130	0
Microbiome 1	CC_15	0.00931382
Microbiome 1	CC_20	0
Microbiome 1	CC_2198	0.014341809
Microbiome 1	CC_22	0.007824732
Microbiome 1	CC_2361	0
Microbiome 1	CC_291	0
Microbiome 1	CC_425	0.019326762
Microbiome 1	CC_45	0.004596988
Microbiome 1	CC_49	0.014222979
Microbiome 1	CC_50	0
Microbiome 1	CC_522	0
Microbiome 1	CC_700	0
Microbiome 1	CC_779	0.032714411
Microbiome 1	CC_78	0
Microbiome 1	CC_80	0
Microbiome 1	CC_97	0
Microbiome 1	CC_9	0
Microbiome 2	CC_8_8	0
Microbiome 2	CC_239_239	0.260587274
Microbiome 2	CC_1_1	0
Microbiome 2	CC_5_5	0
Microbiome 2	CC_8_8_2	0
Microbiome 2	CC_5_5_2	0
Microbiome 2	MLST_93	0.14640981
Microbiome 2	CC_5_5_3	0
Microbiome 2	CC_59_59	0.002494005
Microbiome 2	CC_30_36	0.001672368
Microbiome 2	CC_8_72	0
Microbiome 2	CC_8_8_3	0
Microbiome 2	CC_151_151	0.498024077
Microbiome 2	CC_8_254	0
Microbiome 2	CC_398_398	0.005403356
Microbiome 2	CC_30_30	0
Microbiome 2	CC_75_1850	0.004042298
Microbiome 2	CC_5_5_4	0.000431438
Microbiome 2	CC_133_133	0
Microbiome 2	CC_1021	0.005944242
Microbiome 2	CC_121	0
Microbiome 2	CC_123	0.011666936
Microbiome 2	CC_130	0
Microbiome 2	CC_15	0.000419796
Microbiome 2	CC_20	0
Microbiome 2	CC_2198	0.012676116
Microbiome 2	CC_22	0.001441094
Microbiome 2	CC_2361	0
Microbiome 2	CC_291	0
Microbiome 2	CC_425	0
Microbiome 2	CC_45	0.007455823
Microbiome 2	CC_49	0.005252537
Microbiome 2	CC_50	0.013023675
Microbiome 2	CC_522	0.011544791
Microbiome 2	CC_700	0.011510365
Microbiome 2	CC_779	0
Microbiome 2	CC_78	0
Microbiome 2	CC_80	0
Microbiome 2	CC_97	0
Microbiome 2	CC_9	0
Microbiome 3	CC_8_8	0
Microbiome 3	CC_239_239	0.563524806
Microbiome 3	CC_1_1	0
Microbiome 3	CC_5_5	0
Microbiome 3	CC_8_8_2	0
Microbiome 3	CC_5_5_2	0
Microbiome 3	MLST_93	0.190037621
Microbiome 3	CC_5_5_3	0
Microbiome 3	CC_59_59	0.003391095
Microbiome 3	CC_30_36	0.008633672
Microbiome 3	CC_8_72	0
Microbiome 3	CC_8_8_3	0
Microbiome 3	CC_151_151	0.13970561
Microbiome 3	CC_8_254	0
Microbiome 3	CC_398_398	0.012720662
Microbiome 3	CC_30_30	0.001832049
Microbiome 3	CC_75_1850	0.008657908
Microbiome 3	CC_5_5_4	0
Microbiome 3	CC_133_133	0.00250495
Microbiome 3	CC_1021	0.008680823
Microbiome 3	CC_121	0.000997006
Microbiome 3	CC_123	0
Microbiome 3	CC_130	0
Microbiome 3	CC_15	0
Microbiome 3	CC_20	0
Microbiome 3	CC_2198	0.006964057
Microbiome 3	CC_22	0.006482349
Microbiome 3	CC_2361	0
Microbiome 3	CC_291	0.007168429
Microbiome 3	CC_425	0.009936242
Microbiome 3	CC_45	0.002813032
Microbiome 3	CC_49	0.009079967
Microbiome 3	CC_50	0.002261523
Microbiome 3	CC_522	0.012154444
Microbiome 3	CC_700	0
Microbiome 3	CC_779	0
Microbiome 3	CC_78	0
Microbiome 3	CC_80	0
Microbiome 3	CC_97	0.002453753
Microbiome 3	CC_9	0
