"Sample.ID" "Description" "Latitude" "Logitude" "Run"
"1" "Culture01" "68 St-Hunter College (LB @ 28C)" "40.768141" "-73.96387" NA
"2" "Culture02" "68 St-Hunter College (LB & Tetracycline @ 28C)" "40.768141" "-73.96387" NA
"3" "Culture03" "68 St-Hunter College (TSA & Tetracycline @ 28C) " "40.768141" "-73.96387" NA
"4" "Culture05" "68 St-Hunter College (TSA @ 37C) " "40.768141" "-73.96387" NA
"5" "Culture07" "77 st (LB @ 28C) " "40.77362" "-73.959874" NA
"6" "Culture08" "77 st (LB @ 35C) " "40.77362" "-73.959874" NA
"7" "Culture09" "Grand Central-42 St" "40.751776" "-73.976848" NA
"8" "Culture10" "Grand Central-42 St" "40.751776" "-73.976848" NA
"9" "Culture11" "Grand Central-42 St" "40.751776" "-73.976848" NA
"10" "Culture12" "Times Sq-42 St/42 St" "40.754672" "-73.986754" NA
"11" "GCSS-00" "Gowanus Canal(Fundulus heteroclitus gut) " "Not Recorded" "Not Recorded " "SRR1750092"
"12" "GCSS-01" "Gowanus Canal " "40.681584" "-73.986917" "SRR1750093"
"13" "GCSS-02" "Gowanus Canal " "40.680721" "-73.98755" "SRR1750094"
"14" "GCSS-03" "Gowanus Canal " "40.679721" "-73.988237" "SRR1750095"
"15" "GCSS-04" "Gowanus Canal " "40.678272" "-73.989009" "SRR1750096"
"16" "GCSS-05" "Gowanus Canal " "40.677098" "-73.989508" "SRR1750097"
"17" "GCSS-06" "Gowanus Canal " "40.676154" "-73.990324" "SRR1750098"
"18" "GCSS-07" "Gowanus Canal " "40.675646" "-73.990635" "SRR1750099"
"19" "GCSS-08" "Gowanus Canal " "40.674393" "-73.989369" "SRR1750100"
"20" "GCSS-09" "Gowanus Canal " "40.676004" "-73.993145" "SRR1750101"
"21" "GCSS-10" "Gowanus Canal " "40.675516" "-73.993767" "SRR1750102"
"22" "GCSS-11" "Gowanus Canal " "40.674995" "-73.995184" "SRR1750103"
"23" "GCSS-12" "Gowanus Canal " "40.674051" "-73.996536" "SRR1750104"
"24" "GCSS-13" "Gowanus Canal " "40.672831" "-73.997265" "SRR1750105"
"25" "GCSS-14" "Gowanus Canal " "40.670878" "-73.998874" "SRR1750106"
"26" "Mix" "pool of samples" "#N/A" "#N/A" NA
"27" "P00007" "Waverly Place " "40.730612" "-73.99518" "SRR1748535"
"28" "P00007" "Waverly Place " "40.730612" "-73.99518" "SRR1748536"
"29" "P00008" "Washington Sq Park" "40.730738" "-73.996358" "SRR1748537"
"30" "P00008" "Washington Sq Park" "40.730738" "-73.996358" "SRR1748538"
"31" "P00009" "Washington Sq Park" "40.730738" "-73.996358" "SRR1748539"
"32" "P00009" "Washington Sq Park" "40.730738" "-73.996358" "SRR1748540"
"33" "P00010" "Washington Sq Park" "40.730738" "-73.996358" "SRR1748541"
"34" "P00010" "Washington Sq Park" "40.730738" "-73.996358" "SRR1748542"
"35" "P00011" "Washington Sq Park" "40.730811" "-73.996543" "SRR1748543"
"36" "P00011" "Washington Sq Park" "40.730811" "-73.996543" "SRR1748544"
"37" "P00024" "Washington Sq Park" "40.730735" "-73.997178" "SRR1748545"
"38" "P00024" "Washington Sq Park" "40.730735" "-73.997178" "SRR1748546"
"39" "P00027" "Queens Plaza" "40.748973" "-73.937243" "SRR1748547"
"40" "P00027" "Queens Plaza" "40.748973" "-73.937243" "SRR1748548"
"41" "P00030" "46 St" "40.756312" "-73.913333" "SRR1748549"
"42" "P00030" "46 St" "40.756312" "-73.913333" "SRR1748550"
"43" "P00031" "R Train " "40.696668" "-73.960819" "SRR1748551"
"44" "P00031" "R Train " "40.696668" "-73.960819" "SRR1748552"
"45" "P00032" "74-Bway/Jackson Hts-Roosevelt Av" "40.746644" "-73.891338" "SRR1748553"
"46" "P00032" "74-Bway/Jackson Hts-Roosevelt Av" "40.746644" "-73.891338" "SRR1748554"
"47" "P00033" "Elmhurst Av" "40.742454" "-73.882017" "SRR1748555"
"48" "P00033" "Elmhurst Av" "40.742454" "-73.882017" "SRR1748556"
"49" "P00034" "Grand Av-Newtown" "40.737015" "-73.877223" "SRR1748557"
"50" "P00034" "Grand Av-Newtown" "40.737015" "-73.877223" "SRR1748558"
"51" "P00035" "63 Dr-Rego Park" "40.729846" "-73.861604" "SRR1748559"
"52" "P00035" "63 Dr-Rego Park" "40.729846" "-73.861604" "SRR1748560"
"53" "P00036" "Forest Hills-71st Av" "40.721691" "-73.844521" "SRR1748561"
"54" "P00036" "Forest Hills-71st Av" "40.721691" "-73.844521" "SRR1748562"
"55" "P00041" "Fort Greene Park" "40.690994" "-73.973668" "SRR1748563"
"56" "P00041" "Fort Greene Park" "40.690994" "-73.973668" "SRR1748564"
"57" "P00042" "Fort Greene Park" "40.690994" "-73.974729" "SRR1748565"
"58" "P00042" "Fort Greene Park" "40.690994" "-73.974729" "SRR1748566"
"59" "P00044" "Atlantic Av-Barclays Ctr" "40.684359" "-73.977666" "SRR1748567"
"60" "P00044" "Atlantic Av-Barclays Ctr" "40.684359" "-73.977666" "SRR1748568"
"61" "P00046" "68 St-Hunter College" "40.768141" "-73.96387" "SRR1748569"
"62" "P00046" "68 St-Hunter College" "40.768141" "-73.96387" "SRR1748570"
"63" "P00046" "68 St-Hunter College" "40.768141" "-73.96387" "SRR1748571"
"64" "P00047" "Times Sq-42 St/42 St" "40.754672" "-73.986754" "SRR1748572"
"65" "P00047" "Times Sq-42 St/42 St" "40.754672" "-73.986754" "SRR1748573"
"66" "P00049" "14 St-Union Sq" "40.754672" "-73.986754" "SRR1748574"
"67" "P00049" "14 St-Union Sq" "40.754672" "-73.986754" "SRR1748575"
"68" "P00049" "14 St-Union Sq" "40.754672" "-73.986754" "SRR1748576"
"69" "P00050" "Bedford Av" "40.717304" "-73.956872" "SRR1748577"
"70" "P00050" "Bedford Av" "40.717304" "-73.956872" "SRR1748578"
"71" "P00050" "Bedford Av" "40.717304" "-73.956872" "SRR1748579"
"72" "P00051" "Bedford Av" "40.717304" "-73.956872" "SRR1748580"
"73" "P00051" "Bedford Av" "40.717304" "-73.956872" "SRR1748581"
"74" "P00051" "Bedford Av" "40.717304" "-73.956872" "SRR1748582"
"75" "P00052" "Bedford Av" "40.717304" "-73.956872" "SRR1748583"
"76" "P00052" "Bedford Av" "40.717304" "-73.956872" "SRR1748584"
"77" "P00052" "Bedford Av" "40.717304" "-73.956872" "SRR1748585"
"78" "P00053" "Myrtle-Wyckoff Avs" "40.699814" "-73.911586" "SRR1748586"
"79" "P00053" "Myrtle-Wyckoff Avs" "40.699814" "-73.911586" "SRR1748587"
"80" "P00054" "Myrtle-Wyckoff Avs" "40.699814" "-73.911586" "SRR1748588"
"81" "P00054" "Myrtle-Wyckoff Avs" "40.699814" "-73.911586" "SRR1748589"
"82" "P00054" "Myrtle-Wyckoff Avs" "40.699814" "-73.911586" "SRR1748590"
"83" "P00055" "L Train  " "40.69936" "-73.920514" "SRR1748591"
"84" "P00055" "L Train  " "40.69936" "-73.920514" "SRR1748592"
"85" "P00055" "L Train  " "40.69936" "-73.920514" "SRR1748593"
"86" "P00056" "14 St/8 Av" "40.739777" "-74.002578" "SRR1748594"
"87" "P00056" "14 St/8 Av" "40.739777" "-74.002578" "SRR1748595"
"88" "P00056" "14 St/8 Av" "40.739777" "-74.002578" "SRR1748596"
"89" "P00058" "14 St/8 Av" "40.739777" "-74.002578" "SRR1748597"
"90" "P00058" "14 St/8 Av" "40.739777" "-74.002578" "SRR1748598"
"91" "P00058" "14 St/8 Av" "40.739777" "-74.002578" "SRR1748599"
"92" "P00059" "L Train" "40.736514" "-73.99944" "SRR1748600"
"93" "P00059" "L Train" "40.736514" "-73.99944" "SRR1748601"
"94" "P00060" "14 St/6 Av" "40.737335" "-73.996786" "SRR1748602"
"95" "P00060" "14 St/6 Av" "40.737335" "-73.996786" "SRR1748603"
"96" "P00061" "14 St/6 Av" "40.737335" "-73.996786" "SRR1748604"
"97" "P00061" "14 St/6 Av" "40.737335" "-73.996786" "SRR1748605"
"98" "P00061" "14 St/6 Av" "40.737335" "-73.996786" "SRR1748606"
"99" "P00062" "Q Train  " "40.741134" "-73.989154" "SRR1748607"
"100" "P00062" "Q Train  " "40.741134" "-73.989154" "SRR1748608"
"101" "P00063" "Church Av" "40.650527" "-73.962982" "SRR1748609"
"102" "P00063" "Church Av" "40.650527" "-73.962982" "SRR1748610"
"103" "P00064" "Church Av" "40.650527" "-73.962982" "SRR1748611"
"104" "P00066" "Beverley Rd" "40.644031" "-73.964492" "SRR1748612"
"105" "P00067" "Beverley Rd" "40.644031" "-73.964492" "SRR1748613"
"106" "P00068" "Q Train  " "40.635088" "-73.96288" "SRR1748614"
"107" "P00068" "Q Train  " "40.635088" "-73.96288" "SRR1748615"
"108" "P00069" "Newkirk Plaza" "40.635082" "-73.962793" "SRR1748616"
"109" "P00069" "Newkirk Plaza" "40.635082" "-73.962793" "SRR1748617"
"110" "P00070" "Newkirk Plaza" "40.635082" "-73.962793" "SRR1748618"
"111" "P00072" "Avenue J" "40.625039" "-73.960803" "SRR1748619"
