SRA id,Coverage,Average read length,Average read quality score,MLST type,Sequencing Platform
ERX094639,50,100,39.944,1,Illumina HiSeq 2000
ERX094730,50,100,40.011,1,Illumina HiSeq 2000
ERX094729,50,100,39.515,1,Illumina HiSeq 2000
ERX094869,50,100,39.412,1,Illumina HiSeq 2000
ERX094876,50,100,39.405,1,Illumina HiSeq 2000
ERX110369,50,100,38.1,1,Illumina HiSeq 2000
ERX110423,50,100,39.507,1,Illumina HiSeq 2000
ERX120741,50,100,38.988,1,Illumina HiSeq 2000
ERX120762,50,100,38.991,1,Illumina HiSeq 2000
ERX132366,50,100,32.724,1,Illumina HiSeq 2000
ERX147839,50,100,35.718,1,Illumina HiSeq 2000
ERX147968,50,100,36.007,1,Illumina HiSeq 2000
ERX147991,50,100,36.007,1,Illumina HiSeq 2000
ERX152038,50,100,36.406,1,Illumina HiSeq 2000
ERX154964,50,100,36.227,1,Illumina HiSeq 2000
ERX178832,50,100,36.794,1,Illumina HiSeq 2000
ERX178840,50,100,36.793,1,Illumina HiSeq 2000
ERX178849,50,100,37.003,1,Illumina HiSeq 2000
ERX178894,50,100,37.003,1,Illumina HiSeq 2000
ERX186351,50,100,35.031,1,Illumina HiSeq 2000
ERX186572,50,100,34.313,1,Illumina HiSeq 2000
ERX186583,50,100,34.317,1,Illumina HiSeq 2000
ERX186597,50,100,34.14,1,Illumina HiSeq 2000
ERX186602,50,100,34.305,1,Illumina HiSeq 2000
ERX186619,50,100,34.315,1,Illumina HiSeq 2000
ERX187425,50,100,36.268,1,Illumina HiSeq 2000
ERX187467,50,100,36.274,1,Illumina HiSeq 2000
ERX187478,50,100,36.275,1,Illumina HiSeq 2000
ERX187490,50,100,36.266,1,Illumina HiSeq 2000
ERX187525,50,100,36.467,1,Illumina HiSeq 2000
ERX187527,50,100,36.454,1,Illumina HiSeq 2000
ERX187533,50,100,36.468,1,Illumina HiSeq 2000
ERX187565,50,100,36.471,1,Illumina HiSeq 2000
ERX187564,50,100,36.458,1,Illumina HiSeq 2000
ERX187590,50,100,36.453,1,Illumina HiSeq 2000
ERX187603,50,100,37,1,Illumina HiSeq 2000
ERX187605,50,100,37,1,Illumina HiSeq 2000
ERX187592,50,100,36.468,1,Illumina HiSeq 2000
ERX187602,50,100,37,1,Illumina HiSeq 2000
ERX187668,50,100,36.714,1,Illumina HiSeq 2000
ERX187669,50,100,37,1,Illumina HiSeq 2000
ERX187654,50,100,37,1,Illumina HiSeq 2000
ERX197835,50,100,36.619,1,Illumina HiSeq 2000
ERX209356,50,100,36.641,1,Illumina HiSeq 2000
ERX212147,50,100,37.001,1,Illumina HiSeq 2000
ERX212159,50,100,37.001,1,Illumina HiSeq 2000
ERX212164,50,100,37.001,1,Illumina HiSeq 2000
ERX221180,50,100,37.001,1,Illumina HiSeq 2000
ERX221190,50,100,37.001,1,Illumina HiSeq 2000
ERX276051,50,100,36.69,1,Illumina HiSeq 2000
ERX085235,50,100,39.611,5,Illumina HiSeq 2000
ERX085234,50,100,39.6,5,Illumina HiSeq 2000
ERX085326,50,100,39.78,5,Illumina HiSeq 2000
ERX085405,50,100,40.236,5,Illumina HiSeq 2000
ERX088480,50,100,39.206,5,Illumina HiSeq 2000
ERX094637,50,100,39.938,5,Illumina HiSeq 2000
ERX094764,50,100,40.011,5,Illumina HiSeq 2000
ERX094803,50,100,40.048,5,Illumina HiSeq 2000
ERX094842,50,100,39.391,5,Illumina HiSeq 2000
ERX094860,50,100,39.362,5,Illumina HiSeq 2000
ERX105400,50,100,36.336,5,Illumina HiSeq 2000
ERX105446,50,100,36.344,5,Illumina HiSeq 2000
ERX105447,50,100,36.347,5,Illumina HiSeq 2000
ERX110352,50,100,39.001,5,Illumina HiSeq 2000
ERX110358,50,100,38.992,5,Illumina HiSeq 2000
ERX110375,50,100,38.993,5,Illumina HiSeq 2000
ERX110402,50,100,38.031,5,Illumina HiSeq 2000
ERX110430,50,100,39.516,5,Illumina HiSeq 2000
ERX110428,50,100,38.063,5,Illumina HiSeq 2000
ERX110699,50,100,39.561,5,Illumina HiSeq 2000
ERX110758,50,100,39.449,5,Illumina HiSeq 2000
ERX110795,50,100,39.445,5,Illumina HiSeq 2000
ERX110867,50,100,38.891,5,Illumina HiSeq 2000
ERX113993,50,100,38.784,5,Illumina HiSeq 2000
ERX132382,50,100,40.117,5,Illumina HiSeq 2000
ERX139382,50,100,36.51,5,Illumina HiSeq 2000
ERX140789,50,100,35.956,5,Illumina HiSeq 2000
ERX147775,50,100,36.014,5,Illumina HiSeq 2000
ERX147786,50,100,36.015,5,Illumina HiSeq 2000
ERX147797,50,100,36.015,5,Illumina HiSeq 2000
ERX147800,50,100,35.693,5,Illumina HiSeq 2000
ERX147787,50,100,35.714,5,Illumina HiSeq 2000
ERX147817,50,100,35.712,5,Illumina HiSeq 2000
ERX147830,50,100,36.014,5,Illumina HiSeq 2000
ERX147989,50,100,36.006,5,Illumina HiSeq 2000
ERX147995,50,100,36.007,5,Illumina HiSeq 2000
ERX147996,50,100,36.007,5,Illumina HiSeq 2000
ERX148001,50,100,36.007,5,Illumina HiSeq 2000
ERX148000,50,100,36.007,5,Illumina HiSeq 2000
ERX147984,50,100,36.007,5,Illumina HiSeq 2000
ERX147993,50,100,36.007,5,Illumina HiSeq 2000
ERX148030,50,100,36.007,5,Illumina HiSeq 2000
ERX153330,50,100,36.376,5,Illumina HiSeq 2000
ERX158560,50,100,37,5,Illumina HiSeq 2000
ERX158651,50,100,37,5,Illumina HiSeq 2000
ERX164826,50,100,36.121,5,Illumina HiSeq 2000
ERX164834,50,100,36.13,5,Illumina HiSeq 2000
ERX164859,50,100,35.767,5,Illumina HiSeq 2000
ERX164866,50,100,36.127,5,Illumina HiSeq 2000
ERX164864,50,100,35.769,5,Illumina HiSeq 2000
ERX164868,50,100,35.778,5,Illumina HiSeq 2000
ERX164869,50,100,35.778,5,Illumina HiSeq 2000
ERX164872,50,100,35.786,5,Illumina HiSeq 2000
ERX164873,50,100,35.772,5,Illumina HiSeq 2000
ERX164882,50,100,35.78,5,Illumina HiSeq 2000
ERX164881,50,100,35.781,5,Illumina HiSeq 2000
ERX164889,50,100,36.125,5,Illumina HiSeq 2000
ERX164890,50,100,35.772,5,Illumina HiSeq 2000
ERX164891,50,100,35.778,5,Illumina HiSeq 2000
ERX164894,50,100,35.266,5,Illumina HiSeq 2000
ERX164901,50,100,35.776,5,Illumina HiSeq 2000
ERX164903,50,100,36.126,5,Illumina HiSeq 2000
ERX178858,50,100,37.002,5,Illumina HiSeq 2000
ERX178875,50,100,37.002,5,Illumina HiSeq 2000
ERX178888,50,100,37.002,5,Illumina HiSeq 2000
ERX178893,50,100,36.794,5,Illumina HiSeq 2000
ERX178899,50,100,37.003,5,Illumina HiSeq 2000
ERX186599,50,100,34.109,5,Illumina HiSeq 2000
ERX186631,50,100,34.324,5,Illumina HiSeq 2000
ERX186637,50,100,34.311,5,Illumina HiSeq 2000
ERX186649,50,100,34.316,5,Illumina HiSeq 2000
ERX187481,50,100,36.276,5,Illumina HiSeq 2000
