"Sample.ID" "Description" "Latitude" "Logitude" "Run" "CC_1" "CC_5" "CC_8" "CC_9" "CC_15" "CC_20" "CC_22" "CC_30" "CC_45" "CC_49" "CC_50" "CC_59" "CC_72" "CC_75" "CC_78" "CC_80" "CC_93" "CC_97" "CC_121" "CC_123" "CC_130" "CC_133" "CC_151" "CC_239" "CC_291" "CC_398" "CC_425" "CC_522" "CC_700" "CC_779" "CC_1021" "CC_2198" "CC_2361"
"1" "P00011" "Washington Sq Park" "40.730811" "-73.996543" "SRR1748544" 0 0 0.063016529 0 0 0 0 0.936983471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "P00027" "Queens Plaza" "40.748973" "-73.937243" "SRR1748547" 0 0 0 0 0 0 0 0.991251545 0 0 0 0 0 0 0 0 0.004793422 0 0 0 0 0 0 0 0 0 0 0.003955033 0 0 0 0 0
"3" "P00027" "Queens Plaza" "40.748973" "-73.937243" "SRR1748548" 0 0 0 0 0 0 0.001772831 0.970315824 0.003475583 0.003251929 0 0 0 0 0 0 0 0 0.001823967 0 0 0.001052589 0.000611615 0.005014813 0.004977812 0.004734934 0.000927117 0 0 0 0.001003809 0.001037178 0
"4" "P00033" "Elmhurst Av" "40.742454" "-73.882017" "SRR1748556" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" "P00034" "Grand Av-Newtown" "40.737015" "-73.877223" "SRR1748558" 0 0.934823508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.043988533 0 0 0 0 0 0 0 0 0 0.021187959 0 0 0 0
"6" "P00035" "63 Dr-Rego Park" "40.729846" "-73.861604" "SRR1748560" 0 0.019839756 0 0 0 0 0 0 0 0 0 0 0.980160244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "P00042" "Fort Greene Park" "40.690994" "-73.974729" "SRR1748566" 0 0 0 0 0.002456765 0 0 0.987909679 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.008848924 0 0 0 0 0 0 0 0.000784632 0
"8" "P00044" "Atlantic Av-Barclays Ctr" "40.684359" "-73.977666" "SRR1748568" 0 0 0 0 0 0 0 0 0 0 0 0 0.892744479 0 0 0 0 0 0 0 0 0 0 0 0 0.107255521 0 0 0 0 0 0 0
"9" "P00053" "Myrtle-Wyckoff Avs" "40.699814" "-73.911586" "SRR1748587" 0 0 0 0 0 0 0 0 0.004203901 0 0 0 0 0.000517076 0 0 0 0 0 0 0 0.004463713 0.003669247 0 0.046294583 0.932148555 0 0 0.002179298 0.001342226 0.003435631 0.001745769 0
"10" "P00061" "14 St/6 Av" "40.737335" "-73.996786" "SRR1748604" 0 0 0 0 0 0 0.008242194 0.970606878 0 0 0.00791554 0 0 0 0 0.00662058 0 0 0 0 0 0 0 0 0 0 0 0 0.006614808 0 0 0 0
"11" "P00064" "Church Av" "40.650527" "-73.962982" "SRR1748611" 0 0.94042355 0 0 0 0 0 0 0 0.04898613 0 0 0 0.01059032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" "P00072" "Avenue J" "40.625039" "-73.960803" "SRR1748619" 0 0 0 0 0 0.367385925 0 0 0 0 0 0 0 0.005056714 0 0.390029256 0 0 0 0 0 0 0 0 0 0 0 0 0 0.237528106 0 0 0
"13" "P00081" "Brighton Beach" "40.577621" "-73.961376" "SRR1748627" 0.098754175 0 0 0.255165979 0.10258256 0.12008505 0.042503056 0 0.000237713 0.006331148 0 0 0 0 0.169012756 0.12748019 0 0 0 0 0 0 0 0.077138309 0 0 0 0 0 0 0 0.000709066 0
"14" "P00081" "Brighton Beach" "40.577621" "-73.961376" "SRR1748628" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.792298462 0 0 0.207701538 0 0 0 0
"15" "P00088" "7 Train   " "40.763873" "-73.963161" "SRR1748642" 0 0 0.04109589 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010273973 0 0 0 0 0.948630137 0 0 0 0
"16" "P00091" "7 Train " "40.763329" "-73.964675" "SRR1748649" 0 0 0 0 0 0 0 0 0 0 0 0.983186534 0 0 0 0 0 0 0 0.007050213 0 0 0 0 0 0 0 0 0 0 0 0 0.009763254
"17" "P00102" "Woodside Av-61 St" "40.74563" "-73.902984" "SRR1748663" 0 0 0 0 0.46059988 0.495324359 0 0 0.003974243 0 0 0.019375766 0 0 0 0 0.004500018 0 0 0 0 0 0 0 0 0.014799805 0 0 0 0 0 0.001425928 0
"18" "P00134" "J Train " "40.696018" "-73.933535" "SRR1748708" 0 0.276300329 0 0 0 0 0 0.51990633 0.099780785 0 0 0 0 0 0 0 0 0 0 0 0 0 0.006234883 0 0 0 0 0 0.097777673 0 0 0 0
"19" "P00155" "D Train " "40.750053" "-73.987684" "SRR1748729" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.315789474 0 0 0 0 0 0 0 0 0.684210526 0 0 0 0 0 0 0 0 0 0
"20" "P00165" "168 St" "40.840556" "-73.940133" "SRR1748744" 0 0.038461538 0.961538462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" "P00166" "168 St" "40.840556" "-73.940133" "SRR1748746" 0 0 0.205314432 0 0 0 0 0.609475073 0 0 0 0 0 0 0 0 0 0 0.102013572 0 0 0 0 0 0 0 0 0 0.083196923 0 0 0 0
"22" "P00167" "168 St" "40.840556" "-73.940133" "SRR1748748" 0 0 0 0 0.498296312 0 0 0.270875333 0 0 0 0 0 0 0 0 0 0 0 0.02322345 0 0 0.10990306 0 0 0 0.05605836 0 0.041643486 0 0 0 0
"23" "P00173" "125 St" "40.811109" "-73.952343" "SRR1748758" 0 0 0 0 0 0 0 0.123489075 0.064837306 0 0.028349451 0 0 0 0 0.783324168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "P00200" "25 Av" "40.597704" "-73.986829" "SRR1748796" 0 0 0.233662024 0 0 0 0 0.070797983 0 0 0 0 0 0.07779174 0 0 0 0.329224961 0 0 0 0 0 0 0 0 0.205314151 0 0.08320914 0 0 0 0
"25" "P00201" "D Train " "40.601963" "-73.99377" "SRR1748797" 0 0 0 0 0 0 0 0 0 0 0.76744186 0 0 0.23255814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"26" "P00205" "7 Av" "40.666271" "-73.980305" "SRR1748801" 0 0 0.975046312 0 0 0 0 0 0.00058204 0 0 0 0.008133862 0.000471183 0.008202533 0.004582943 0 0 0 0 0 0 0 0 0 0.002981128 0 0 0 0 0 0 0
"27" "P00206" "7 Av" "40.666271" "-73.980305" "SRR1748802" 0 0 0 0 0 0 0 0 0 0 0.964010283 0 0 0.035989717 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"28" "P00207" "G Train " "40.66685" "-73.981581" "SRR1748803" 0 0.012763851 0 0 0 0 0 0 0.903395528 0 0 0.073149516 0 0 0 0 0.010691105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" "P00211" "Times Sq-42 St/42 St" "40.757308" "-73.989735" "SRR1748807" 0 0.215005599 0 0 0.430011198 0 0 0 0 0 0 0 0 0.139977604 0 0 0 0 0 0 0 0 0 0 0 0 0.215005599 0 0 0 0 0 0
"30" "P00216" "1 Train  " "40.789739" "-73.976542" "SRR1748812" 0.100481362 0 0.094170567 0 0.169960628 0 0.031237471 0.005523193 0 0 0 0 0.295966264 0 0 0 0.001160453 0.117631672 0 0 0 0 0 0 0 0 0 0 0 0.183868391 0 0 0
"31" "P00230" "Marble Hill-225 St" "40.874561" "-73.909831" "SRR1748826" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.035714286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.964285714 0 0 0 0
"32" "P00231" "Dyckman St" "40.860531" "-73.925536" "SRR1748827" 0 0 0 0 0 0 0 0.997352162 0 0 0 0 0 0.002647838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"33" "P00234" "168 St" "40.840556" "-73.940133" "SRR1748830" 0.273020025 0 0.20875138 0 0 0 0 0 0.31966308 0 0 0 0 0 0 0 0 0 0 0 0.090046745 0 0 0 0.10851877 0 0 0 0 0 0 0 0
"34" "P00235" "137 St-City College" "40.822008" "-73.953676" "SRR1748831" 0 0.211903598 0.085548495 0.104122019 0 0.579990224 0 0 0 0 0 0 0 0.018435663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" "P00242" "96 St" "40.793919" "-73.972323" "SRR1748838" 0.264609764 0 0 0.075087325 0.090397661 0.14687063 0.012214617 0 0 0 0 0 0.139708603 0 0.050661878 0.092702063 0 0.086913831 0 0 0 0 0 0 0 0 0 0 0 0.039922966 0 0.000910661 0
"36" "P00245" "66 St-Lincoln Center" "40.77344" "-73.982209" "SRR1748841" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001267073 0 0 0 0 0 0 0 0 0 0 0 0.998732927 0 0 0 0 0 0 0
"37" "P00246" "66 St-Lincoln Center" "40.77344" "-73.982209" "SRR1748842" 0 0 0.435212246 0 0 0 0 0 0 0 0 0 0.220351335 0.001992276 0 0 0.014474946 0.327969198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"38" "P00248" "Missing" "40.686882" "-74.01512" "SRR1748844" 0 0 0 0 0 0 0.088484474 0 0.017949527 0 0 0 0.146559685 0.014015448 0 0 0.127897733 0 0 0 0 0.100118752 0 0 0.16968708 0 0.022042262 0.192311224 0 0 0.004033778 0.116900038 0
"39" "P00269" "Grand Central-42 St" "40.751776" "-73.976848" "SRR1748859" 0 0 0 0 0 0 0 0 0 0 0.016789528 0 0.954508507 0 0 0 0.028701965 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"40" "P00271" "Times Sq-42 St/42 St" "40.754672" "-73.986754" "SRR1748861" 0 0 0.844996048 0 0.047886477 0 0.022914925 0 0.016059534 0.007966152 0 0 0.036245862 0.008487261 0 0 0 0 0 0 0 0 0.007775569 0 0 0 0 0.00015728 0.007510893 0 0 0 0
"41" "P00273" "N Train  " "40.755891" "-73.986701" "SRR1748863" 0 0 0 0 0 0.085447757 0 0.872136598 0 0 0 0.040598392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001817253 0
"42" "P00275" "28 St" "40.745494" "-73.988691" "SRR1748865" 0 0 0.625 0 0 0 0 0 0.1875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1875 0 0 0 0 0 0 0 0 0
"43" "P00276" "28 St" "40.745494" "-73.988691" "SRR1748866" 0 0 0 0 0.162027723 0.17771072 0 0 0 0 0.020210569 0 0.169330391 0 0 0.158463819 0.007051362 0.254587144 0 0.022687846 0 0 0.006441305 0 0 0 0 0 0.021489121 0 0 0 0
"44" "P00279" "14 St/6 Av" "40.738228" "-73.996209" "SRR1748869" 0 0.177524564 0.008256956 0 0 0 0 0 0 0 0 0 0.771337352 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042881127 0 0 0 0
"45" "P00285" "Prince St" "40.724329" "-73.997702" "SRR1748875" 0 0.689938398 0 0 0 0 0 0 0.304928131 0 0 0 0 0.00513347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "P00320" "Cathedral Pkwy-110 St" "40.800605" "-73.958158" "SRR1748910" 0 0 0 0 0 0 0 0.616987686 0 0 0 0.273444901 0 0 0 0 0 0 0.068203347 0 0 0 0 0.041364067 0 0 0 0 0 0 0 0 0
"47" "P00322" "Cathedral Pkwy-110 St" "40.800605" "-73.958158" "SRR1748912" 0 0 0.608518634 0 0 0 0.16003166 0 0.120513093 0 0 0 0 0.03397382 0 0 0 0 0 0 0.076962792 0 0 0 0 0 0 0 0 0 0 0 0
"48" "P00335" "14 St/6 Av" "40.737826" "-74.000201" "SRR1748925" 0 0.816373083 0 0 0 0 0 0 0 0 0 0 0.09393901 0.002234997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08745291 0 0 0 0
"49" "P00338" "Canal St" "40.722854" "-74.006277" "SRR1748928" 0 0 0.467746812 0.051655496 0 0 0 0 0.255908885 0 0.157209091 0 0 0 0 0.067479716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"50" "P00350" "Staten Island Railway  " "40.550004" "-74.153577" "SRR1748939" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
